candidate	window_as_committed	verdict	hit_classes	n_hits	worst_hit_derived_field	worst_hit_derived_value	worst_hit_source_field	worst_hit_source_value	error_kind	changes_window_classification	note
EGFR	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
KIT	VITAL_OR_IMMUNE_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
SSTR2	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
B4GALNT1	RESTRICTED	HIT	C2,C3,C5	3	window	"RESTRICTED"	rna_tissue_distribution	"Detected in many"	PRODUCER	no (label unchanged; its gloss is unsupported)	_note glosses RESTRICTED as 'confined to one/few tissues'; the distribution field beside it says the transcript is detected in many. classify() never reads distribution on this branch
DLL3	RESTRICTED	HIT	C1,C2	2	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	YES	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
GPC3	RESTRICTED	HIT	C1,C2,C3	3	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	YES	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
B2M	BROAD_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CD3E	VITAL_OR_IMMUNE_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CD248	VITAL_OR_IMMUNE_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CSPG4	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
PRAME	RESTRICTED	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
MSLN	ENHANCED_BROAD	HIT	C1,C2	2	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	no (already a liability row)	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
L1CAM	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ALPP	RESTRICTED	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ALPPL2	(n/a — different artifact)	CLEAN	-	0	(none scored)	null	_status	"symbol mismatch \u2014 record DISCARDED, nothing scored"	CLEAN	no	record discarded on symbol mismatch; no derived flag exists to contradict anything
CDH17	VITAL_OR_IMMUNE_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
LRRC15	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
PDGFRB	BROAD_LIABILITY	HIT	C1,C2	2	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	no (already a liability row)	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
ANTXR1	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
TNC	BROAD_LIABILITY	HIT	C2,C4,C5	3	window	"BROAD_LIABILITY"	rna_tissue_specificity	"Tissue enhanced"	PRODUCER	YES vs the specificity field alone; no vs the pair of source fields	TWO source criteria collide on this row: rna_tissue_specificity meets a ENHANCED_BROAD criterion and rna_tissue_distribution (Detected in all) meets the BROAD_LIABILITY one. The _note names both criteria and states NO precedence; classify() silently resolves it distribution-first. Stated narrowly: the legend under-determines the row, it is not a flat contradiction
MMP14	BROAD_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
POSTN	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
THY1	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CD44	BROAD_LIABILITY	HIT	C2,C4	2	window	"BROAD_LIABILITY"	rna_tissue_specificity	"Tissue enhanced"	PRODUCER	YES vs the specificity field alone; no vs the pair of source fields	TWO source criteria collide on this row: rna_tissue_specificity meets a ENHANCED_BROAD criterion and rna_tissue_distribution (Detected in all) meets the BROAD_LIABILITY one. The _note names both criteria and states NO precedence; classify() silently resolves it distribution-first. Stated narrowly: the legend under-determines the row, it is not a flat contradiction
VCAN	VITAL_OR_IMMUNE_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
SDC1	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
GPC1	ENHANCED_BROAD	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
MAGEA4	RESTRICTED	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CTAG1B	RESTRICTED	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
TAP1	BROAD_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ROR1	ENHANCED_BROAD	HIT	C2,C5	2	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
ROR2	VITAL_OR_IMMUNE_LIABILITY	HIT	C2,C5	2	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CD70	ENHANCED_BROAD	HIT	C1,C2	2	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	no (already a liability row)	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
IGF1R	BROAD_LIABILITY	HIT	C1,C2	2	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	no (already a liability row)	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
ALCAM	RESTRICTED	HIT	C1,C2,C3	3	immune_or_circulating	false	rna_blood_cell_specificity	"Immune cell enhanced"	PRODUCER	YES	rule is `'enriched' in blood_spec.lower()`; 'Immune cell enhanced' is real immune-cell expression and the flag named immune_or_circulating reports its absence
EPHA2	VITAL_OR_IMMUNE_LIABILITY	HIT	C2	1	vital_tissue	[]	rna_tissue_specific_nTPM	null	PRODUCER	no (branch never fires)	vital_hits is substring-matched against the JSON of rna_tissue_specific_nTPM, which is null here; [] is an absent reading rendered as a negative finding
CSPG4 (surfaceome-instrument-limits.json)	(n/a — different artifact)	HIT	C6	1	limits.L4_cspg4_coverage_gap.in_emc_surface_normal_window	false	emc-surface-normal-window.json antigens.CSPG4.window	"ENHANCED_BROAD"	DATA	no (CSPG4's own window is unaffected)	producer computes `'CSPG4' in json.dumps(normal_window)` live; against the committed normal-window file that is True. The committed false predates the run that added CSPG4 (see _drift_vs_previous_artifact.newly_added_this_run). Re-running the unchanged producer fixes it
