obs_id	nct	om_index	results_group_id	in_integrated_552	coverage_state	cohort_key	n_observations_in_cohort_set	encoding_identity_status	semantic_duplication_status	distinction_basis	unresolved_states_v2	denominator_state	denominator_value_participants	reporting_status_state	usable_for_proportion_at_b_scope	unusable_reason	cross_observation_disjointness_state
NCT02263508#om14#OG001	NCT02263508	14	OG001	yes	COVERED_BY_A_AND_C	NCT02263508||phase 3: talimogene laherparepvec + pembrolizumab	9	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	346	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02263508#om19#OG000	NCT02263508	19	OG000	yes	COVERED_BY_A_AND_C	NCT02263508||phase 3: placebo + pembrolizumab	9	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	346	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT02263508#om19#OG001	NCT02263508	19	OG001	yes	COVERED_BY_A_AND_C	NCT02263508||phase 3: talimogene laherparepvec + pembrolizumab	9	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	346	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00942162#om7#OG000	NCT00942162	7	OG000	yes	COVERED_BY_A_AND_C	NCT00942162||gsk2132231a gs+ group	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	71	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00942162#om7#OG001	NCT00942162	7	OG001	yes	COVERED_BY_A_AND_C	NCT00942162||gsk2132231a gs- group	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	50	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00942162#om7#OG002	NCT00942162	7	OG002	yes	COVERED_BY_A_AND_C	NCT00942162||gsk2132231a gs-unknown group	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	2	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00654238#om0#OG000	NCT00654238	0	OG000	yes	COVERED_BY_A_AND_C	NCT00654238||sorafenib	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	55	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00756509#om0#OG000	NCT00756509	0	OG000	yes	COVERED_BY_A_AND_C	NCT00756509||nilotinib	2	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	41	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG000	NCT01648764	5	OG000	yes	COVERED_BY_A_AND_C	NCT01648764||40 mg ly - arm a dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG001	NCT01648764	5	OG001	yes	COVERED_BY_A_AND_C	NCT01648764||50 mg ly - arm a dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG002	NCT01648764	5	OG002	yes	COVERED_BY_A_AND_C	NCT01648764||60 mg ly - arm a dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG003	NCT01648764	5	OG003	yes	COVERED_BY_A_AND_C	NCT01648764||70 mg ly - arm a dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG004	NCT01648764	5	OG004	yes	COVERED_BY_A_AND_C	NCT01648764||80 mg ly - arm a dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG005	NCT01648764	5	OG005	yes	COVERED_BY_A_AND_C	NCT01648764||90 mg ly - arm a dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	5	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG006	NCT01648764	5	OG006	yes	COVERED_BY_A_AND_C	NCT01648764||100 mg ly - arm a dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	9	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG007	NCT01648764	5	OG007	yes	COVERED_BY_A_AND_C	NCT01648764||40 mg ly - arm b dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG008	NCT01648764	5	OG008	yes	COVERED_BY_A_AND_C	NCT01648764||50 mg ly - arm b dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG009	NCT01648764	5	OG009	yes	COVERED_BY_A_AND_C	NCT01648764||60 mg ly - arm b dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	7	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG010	NCT01648764	5	OG010	yes	COVERED_BY_A_AND_C	NCT01648764||70 mg ly - arm b dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG011	NCT01648764	5	OG011	yes	COVERED_BY_A_AND_C	NCT01648764||80 mg ly - arm b dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	9	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG012	NCT01648764	5	OG012	yes	COVERED_BY_A_AND_C	NCT01648764||90 mg ly - arm b dose escalation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	7	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT01648764#om5#OG013	NCT01648764	5	OG013	yes	COVERED_BY_A_AND_C	NCT01648764||90 mg ly - arm a dose confirmation	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	12	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00946153#om2#OG000	NCT00946153	2	OG000	yes	COVERED_BY_A_AND_C	NCT00946153||phase 1: group 1: lenvatinib: 12 mg	3	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	6	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00946153#om2#OG001	NCT00946153	2	OG001	yes	COVERED_BY_A_AND_C	NCT00946153||phase 1: group1: lenvatinib: 16 mg	3	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00946153#om2#OG002	NCT00946153	2	OG002	yes	COVERED_BY_A_AND_C	NCT00946153||phase 1: group 2: lenvatinib: 8 mg	3	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	6	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00946153#om2#OG003	NCT00946153	2	OG003	yes	COVERED_BY_A_AND_C	NCT00946153||phase 1: group 2: lenvatinib: 12 mg	3	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	5	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00836888#om4#OG000	NCT00836888	4	OG000	yes	COVERED_BY_A_AND_C	NCT00836888||ono-4538 1mg/kg cohorts	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00836888#om4#OG001	NCT00836888	4	OG001	yes	COVERED_BY_A_AND_C	NCT00836888||ono-4538 3mg/kg cohorts	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	5	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00836888#om4#OG002	NCT00836888	4	OG002	yes	COVERED_BY_A_AND_C	NCT00836888||ono-4538 10mg/kg cohorts	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	6	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00836888#om4#OG003	NCT00836888	4	OG003	yes	COVERED_BY_A_AND_C	NCT00836888||ono-4538 20mg/kg cohorts	1	SINGLE_OBSERVATION__NO_COMPARISON_MADE	NOT_APPLICABLE__SINGLE_OBSERVATION	NONE	SINGLE_OBSERVATION	PRESENT	3	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00298896#om1#OG000	NCT00298896	1	OG000	yes	COVERED_BY_A_AND_C	NCT00298896||sns-595	2	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	47	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00600340#om3#OG000	NCT00600340	3	OG000	yes	COVERED_BY_A_AND_C	NCT00600340||bevacizumab plus paclitaxel	8	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	285	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00600340#om3#OG001	NCT00600340	3	OG001	yes	COVERED_BY_A_AND_C	NCT00600340||bevacizumab plus capecitabine	8	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	279	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00600340#om4#OG000	NCT00600340	4	OG000	yes	COVERED_BY_A_AND_C	NCT00600340||bevacizumab plus paclitaxel	8	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	266	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00600340#om4#OG001	NCT00600340	4	OG001	yes	COVERED_BY_A_AND_C	NCT00600340||bevacizumab plus capecitabine	8	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	265	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00600340#om5#OG000	NCT00600340	5	OG000	yes	COVERED_BY_A_AND_C	NCT00600340||bevacizumab plus paclitaxel	8	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	285	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
NCT00600340#om5#OG001	NCT00600340	5	OG001	yes	COVERED_BY_A_AND_C	NCT00600340||bevacizumab plus capecitabine	8	NON_IDENTICAL_ENCODING_ON_PRESERVED_FIELDS	UNRESOLVED__SEMANTIC_CORRESPONDENCE_NOT_ESTABLISHED	INCLUDES_STRUCTURED_FIELD	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|SEMANTIC_DUPLICATION_UNRESOLVED	PRESENT	279	POSTED	True		UNVERIFIABLE_IN_THIS_CACHE__NO_PARTICIPANT_FLOW_MODULE
