integration_row_key	code	incompatibility	a_state	a_reported_denominator_participants	b_denominator_value_participants	c_arm_link_state	c_contested_flags	c_sole_arm_multi_results_group_flag	resolution	source_pointer
NCT01256359|OM3|OG001	SOURCE_INTERNAL_CONTRADICTION:C_CONTESTED:PLACEBO_OR_NOINT_GROUP_TEXT_VS_NON_COMPARATOR_BOUND_TYPE	Two source fields of the same record state incompatible things about the same arm/comparator object; C2 records the conflict without resolving it.	NOT_REFUTED_BY_THIS_COMPONENT	42	42	LABEL_MATCH	PLACEBO_OR_NOINT_GROUP_TEXT_VS_NON_COMPARATOR_BOUND_TYPE	NO	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01256359] :: outcomeMeasures[3] :: groups[OG001]
NCT01256359|OM46|OG001	SOURCE_INTERNAL_CONTRADICTION:C_CONTESTED:PLACEBO_OR_NOINT_GROUP_TEXT_VS_NON_COMPARATOR_BOUND_TYPE	Two source fields of the same record state incompatible things about the same arm/comparator object; C2 records the conflict without resolving it.	NOT_REFUTED_BY_THIS_COMPONENT	14	14	LABEL_MATCH	PLACEBO_OR_NOINT_GROUP_TEXT_VS_NON_COMPARATOR_BOUND_TYPE	NO	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01256359] :: outcomeMeasures[46] :: groups[OG001]
NCT01256359|OM50|OG001	SOURCE_INTERNAL_CONTRADICTION:C_CONTESTED:PLACEBO_OR_NOINT_GROUP_TEXT_VS_NON_COMPARATOR_BOUND_TYPE	Two source fields of the same record state incompatible things about the same arm/comparator object; C2 records the conflict without resolving it.	NOT_REFUTED_BY_THIS_COMPONENT	17	17	LABEL_MATCH	PLACEBO_OR_NOINT_GROUP_TEXT_VS_NON_COMPARATOR_BOUND_TYPE	NO	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01256359] :: outcomeMeasures[50] :: groups[OG001]
NCT01296932|OM4|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG000]
NCT01296932|OM4|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG001]
NCT01296932|OM4|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG002]
NCT01296932|OM4|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG003]
NCT01296932|OM4|OG004	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG004]
NCT01296932|OM4|OG005	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG005]
NCT01296932|OM4|OG006	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG006]
NCT01296932|OM4|OG007	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG007]
NCT01296932|OM4|OG008	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01296932] :: outcomeMeasures[4] :: groups[OG008]
NCT01325207|OM1|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	34		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01325207] :: outcomeMeasures[1] :: groups[OG000]
NCT01325207|OM1|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	26		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01325207] :: outcomeMeasures[1] :: groups[OG001]
NCT01403948|OM3|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	1	1	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG000]
NCT01403948|OM3|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG001]
NCT01403948|OM3|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG002]
NCT01403948|OM3|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG003]
NCT01403948|OM3|OG004	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG004]
NCT01403948|OM3|OG005	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	7	7	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG005]
NCT01403948|OM3|OG006	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG006]
NCT01403948|OM3|OG007	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG007]
NCT01403948|OM3|OG008	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG008]
NCT01403948|OM3|OG009	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	7	7	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[3] :: groups[OG009]
NCT01403948|OM4|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	1	1	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG000]
NCT01403948|OM4|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG001]
NCT01403948|OM4|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG002]
NCT01403948|OM4|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG003]
NCT01403948|OM4|OG004	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG004]
NCT01403948|OM4|OG005	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	7	7	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG005]
NCT01403948|OM4|OG006	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG006]
NCT01403948|OM4|OG007	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG007]
NCT01403948|OM4|OG008	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	6	6	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG008]
NCT01403948|OM4|OG009	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	7	7	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01403948] :: outcomeMeasures[4] :: groups[OG009]
NCT01562028|OM3|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	37	37	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01562028] :: outcomeMeasures[3] :: groups[OG000]
NCT01562028|OM3|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	72	72	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01562028] :: outcomeMeasures[3] :: groups[OG001]
NCT01859741|OM3|OG000	SOURCE_INTERNAL_CONTRADICTION:C_CONTESTED:PLACEBO_CLAIM_WITHOUT_ANY_PLACEBO_TYPED_ARM_IN_THIS_CACHE	Two source fields of the same record state incompatible things about the same arm/comparator object; C2 records the conflict without resolving it.	NOT_REFUTED_BY_THIS_COMPONENT	72		PROPOSED	PLACEBO_CLAIM_WITHOUT_ANY_PLACEBO_TYPED_ARM_IN_THIS_CACHE	NO	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01859741] :: outcomeMeasures[3] :: groups[OG000]
NCT01876446|OM3|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	20		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01876446] :: outcomeMeasures[3] :: groups[OG000]
NCT01876446|OM3|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	18		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01876446] :: outcomeMeasures[3] :: groups[OG001]
NCT01975519|OM6|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01975519] :: outcomeMeasures[6] :: groups[OG000]
NCT01975519|OM6|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	78	78	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2010_2013.txt :: studies[nct=NCT01975519] :: outcomeMeasures[6] :: groups[OG001]
NCT02089334|OM4|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02089334] :: outcomeMeasures[4] :: groups[OG000]
NCT02089334|OM4|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02089334] :: outcomeMeasures[4] :: groups[OG001]
NCT02089334|OM4|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02089334] :: outcomeMeasures[4] :: groups[OG002]
